id,symbol,name,current_price,market_cap,total_volume,extraction_timestamp
bitcoin,BTC,Bitcoin,89502.0,1788691705692,66563077328,2026-01-21 17:28:23
ethereum,ETH,Ethereum,3007.52,363193332167,38584062884,2026-01-21 17:28:23
tether,USDT,Tether,0.999179,186861636248,109266877606,2026-01-21 17:28:23
binancecoin,BNB,BNB,883.44,120495242778,3309358977,2026-01-21 17:28:23
ripple,XRP,XRP,1.95,118895598042,4371887941,2026-01-21 17:28:23
